UKPRN	HE_Provider	Academic_employment_function	Contract_levels	Sex	Academic_Year	Contract_salary	Number	Salary_Band
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2017/18	Contract salary < £18,777	0	Band_1
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2017/18	Contract salary ≥ £18,777 and < £24,983	0	Band_2
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2017/18	Contract salary ≥ £24,983 and < £33,518	5	Band_3
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2017/18	Contract salary ≥ £33,518 and < £44,992	35	Band_4
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2017/18	Contract salary ≥ £44,992 and < £60,410	100	Band_5
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2017/18	Contract salary ≥ £60,410	135	Band_6
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2017/18	Total	275	NA
10007774	The University of Oxford	Research only	Other contract level	Female	2017/18	Contract salary < £18,777	0	Band_1
10007774	The University of Oxford	Research only	Other contract level	Female	2017/18	Contract salary ≥ £18,777 and < £24,983	0	Band_2
10007774	The University of Oxford	Research only	Other contract level	Female	2017/18	Contract salary ≥ £24,983 and < £33,518	415	Band_3
10007774	The University of Oxford	Research only	Other contract level	Female	2017/18	Contract salary ≥ £33,518 and < £44,992	950	Band_4
10007774	The University of Oxford	Research only	Other contract level	Female	2017/18	Contract salary ≥ £44,992 and < £60,410	235	Band_5
10007774	The University of Oxford	Research only	Other contract level	Female	2017/18	Contract salary ≥ £60,410	50	Band_6
10007774	The University of Oxford	Research only	Other contract level	Female	2017/18	Total	1655	NA
10007774	The University of Oxford	Teaching only	Other contract level	Female	2017/18	Contract salary < £18,777	0	Band_1
10007774	The University of Oxford	Teaching only	Other contract level	Female	2017/18	Contract salary ≥ £18,777 and < £24,983	0	Band_2
10007774	The University of Oxford	Teaching only	Other contract level	Female	2017/18	Contract salary ≥ £24,983 and < £33,518	0	Band_3
10007774	The University of Oxford	Teaching only	Other contract level	Female	2017/18	Contract salary ≥ £33,518 and < £44,992	15	Band_4
10007774	The University of Oxford	Teaching only	Other contract level	Female	2017/18	Contract salary ≥ £44,992 and < £60,410	5	Band_5
10007774	The University of Oxford	Teaching only	Other contract level	Female	2017/18	Contract salary ≥ £60,410	0	Band_6
10007774	The University of Oxford	Teaching only	Other contract level	Female	2017/18	Total	25	NA
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2017/18	Contract salary < £18,777	0	Band_1
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2017/18	Contract salary ≥ £18,777 and < £24,983	0	Band_2
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2017/18	Contract salary ≥ £24,983 and < £33,518	0	Band_3
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2017/18	Contract salary ≥ £33,518 and < £44,992	0	Band_4
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2017/18	Contract salary ≥ £44,992 and < £60,410	0	Band_5
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2017/18	Contract salary ≥ £60,410	30	Band_6
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2017/18	Total	30	NA
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Female	2017/18	Contract salary < £18,777	0	Band_1
