UKPRN	HE_Provider	Academic_employment_function	Contract_levels	Sex	Academic_Year	Contract_salary	Number	Salary_Band
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2020/21	Contract salary < £19,612	0	Band_1
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2020/21	Contract salary ≥ £19,612 and < £25,941	0	Band_2
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2020/21	Contract salary ≥ £25,941 and < £34,804	0	Band_3
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2020/21	Contract salary ≥ £34,804 and < £46,718	80	Band_4
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2020/21	Contract salary ≥ £46,718 and < £62,727	155	Band_5
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2020/21	Contract salary ≥ £62,727	15	Band_6
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2020/21	Total	250	NA
10005343	Queen's University Belfast	Research only	Other contract level	Female	2020/21	Contract salary < £19,612	0	Band_1
10005343	Queen's University Belfast	Research only	Other contract level	Female	2020/21	Contract salary ≥ £19,612 and < £25,941	10	Band_2
10005343	Queen's University Belfast	Research only	Other contract level	Female	2020/21	Contract salary ≥ £25,941 and < £34,804	60	Band_3
10005343	Queen's University Belfast	Research only	Other contract level	Female	2020/21	Contract salary ≥ £34,804 and < £46,718	205	Band_4
10005343	Queen's University Belfast	Research only	Other contract level	Female	2020/21	Contract salary ≥ £46,718 and < £62,727	15	Band_5
10005343	Queen's University Belfast	Research only	Other contract level	Female	2020/21	Contract salary ≥ £62,727	0	Band_6
10005343	Queen's University Belfast	Research only	Other contract level	Female	2020/21	Total	295	NA
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2020/21	Contract salary < £19,612	0	Band_1
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2020/21	Contract salary ≥ £19,612 and < £25,941	0	Band_2
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2020/21	Contract salary ≥ £25,941 and < £34,804	5	Band_3
